# Matrix Ti6Al4V (tanpa TiB) - Config 1   @rtoto@rkundato
# Generated  : 2026-03-06 17:10:46
# Seed       : 11184165
# Output mode: matrix_only
# Total atoms: 250,000
# Komposisi  : Ti (matrix)=219,941  Al (matrix)=21,257  V  (matrix)=8,802

250000 atoms
3 atom types

0.0 147.500000 xlo xhi
0.0 127.738747 ylo yhi
0.0 234.300000 zlo zhi

Masses

1 47.867  # Ti (matrix)
2 26.982  # Al (matrix)
3 50.942  # V  (matrix)

Atoms # atomic

606 1 0.000000 30.657299 23.430000
607 1 0.000000 30.657299 28.116000
608 1 0.000000 30.657299 32.802000
609 2 0.000000 30.657299 37.488000
610 1 0.000000 30.657299 42.174000
611 1 0.000000 30.657299 46.860000
612 1 0.000000 30.657299 51.546000
613 2 0.000000 30.657299 56.232000
614 1 0.000000 30.657299 60.918000
615 1 0.000000 30.657299 65.604000
616 1 0.000000 30.657299 70.290000
617 1 0.000000 30.657299 74.976000
618 1 0.000000 30.657299 79.662000
619 1 0.000000 30.657299 84.348000
620 1 0.000000 30.657299 89.034000
621 1 0.000000 30.657299 93.720000
622 1 0.000000 30.657299 98.406000
623 1 0.000000 30.657299 103.092000
624 1 0.000000 30.657299 107.778000
625 1 0.000000 30.657299 112.464000
626 1 0.000000 30.657299 117.150000
627 2 0.000000 30.657299 121.836000
628 1 0.000000 30.657299 126.522000
629 1 0.000000 30.657299 131.208000
630 1 0.000000 30.657299 135.894000
631 1 0.000000 30.657299 140.580000
632 2 0.000000 30.657299 145.266000
633 1 0.000000 30.657299 149.952000
634 1 0.000000 30.657299 154.638000
635 1 0.000000 30.657299 159.324000
636 1 0.000000 30.657299 164.010000
637 1 0.000000 30.657299 168.696000
638 1 0.000000 30.657299 173.382000
639 1 0.000000 30.657299 178.068000
640 1 0.000000 30.657299 182.754000
641 1 0.000000 30.657299 187.440000
642 1 0.000000 30.657299 192.126000
643 1 0.000000 30.657299 196.812000
644 1 0.000000 30.657299 201.498000
645 2 0.000000 30.657299 206.184000
646 1 0.000000 30.657299 210.870000
